Index,GHC,Measurement
1,526018,837.35
2,526036,824.67
3,526051,827.4
4,526058,792.96
5,526068,818.14
6,526082,805.61
7,526102,832.02
8,526127,829.71
9,526133,843.34
10,526138,844.93
11,526157,780.75
12,526169,827.46
13,526174,815.93
14,526176,573.11
15,526197,820.22
16,526216,839.71
17,526218,835.38
18,526251,823.82
19,526271,770.59
20,526290,842.58
21,526315,816.21
22,526337,848.62
23,526351,818.47
24,526357,847.98
25,526383,858.18
26,526420,836.28
27,526445,827.02
28,526464,831.23
29,526469,834.41
30,526480,762.31
31,526489,836.77
32,526511,848.92
33,526537,825.91
34,526556,820.39
35,526562,825.21
36,526563,825.83
37,526582,817.21
38,526600,811.65
39,526620,819.04
40,526635,840.1
41,526650,799.8
42,526653,822.84
43,526659,756.72
44,526675,819.79
45,526679,802.11
46,526705,828.39
47,526729,834.86
48,526744,816.6
49,526748,798.07
50,526771,814.92
51,526776,814.95
52,526780,588.39
53,526795,798.89
54,526807,799.58
55,526817,760.26
56,526825,841.58
57,526835,798.88
58,526848,795.45
59,526862,837.88
60,526889,788.65
61,526891,807.15
62,526899,822.74
63,526902,825.18
64,526924,842.87
65,526938,801.13
66,526956,788.87
67,526975,730.1
68,526996,827.94
69,527012,802.21
70,527039,762.67
71,527040,769.76
72,527053,812.02
73,527065,553.93
74,527075,799.38
75,527091,786.04
76,527109,779.59
77,527116,797.5
78,527130,792.42
79,527149,780.21
80,527170,822.33
81,527192,824.91
82,527205,802.12
83,527211,823.93
84,527218,828.94
85,527230,783.11
86,527267,828.32
87,527296,774.02
88,527297,841.65
89,527326,820.31
90,527340,818.73
91,527363,807.49
92,527364,845.59
93,527364,850.67
94,527364,822.94
95,527364,841.47
96,527365,808.77
97,527365,824.41
98,527365,818.58
99,527366,1383.93
100,527366,1402.61
101,527367,1326.16
102,527367,1396.46
103,527368,1329.74
104,527369,1360.59
105,527370,1415.08
106,527370,1355.47
107,527371,1404.13
108,527374,1377.97
109,527380,1397.09
110,527385,1442.17
111,527401,1369.76
112,527416,1340.06
113,527431,1273.13
114,527448,1424.97
115,527455,1395.89
116,527472,1375.83
117,527479,1420.01
118,527488,1393.81
119,527507,1364.19
120,527514,1409.48
121,527534,1334.01
122,527545,1370.91
123,527561,1379.57
124,527574,1368.2
125,527582,1378.71
126,527589,1365.93
127,527617,1443.76
128,527622,1338.31
129,527633,1381.52
130,527645,1303.9
131,527651,1359.9
132,527660,1362.73
133,527680,1447.76
134,527688,1389.06
135,527701,1384
136,527713,1434.89
137,527717,1373.94
138,527718,1392.44
139,527728,1350.12
140,527746,1379.12
141,527758,1395.91
142,527778,1379.44
143,527796,1369.89
144,527797,1365.47
145,527807,1364.2
146,527825,1370.49
147,527837,1389.74
148,527847,1428.76
149,527852,883.56
150,527853,1433.03
151,527862,1349.23
152,527882,1399.62
153,527882,1394.31
154,527882,1319.97
155,527912,1417.99
156,527924,1309.09
157,527930,1294.77
158,527944,1367.2
159,527976,1339.53
160,527991,1445.89
161,528000,1438.01
162,528002,1369.15
163,528028,1356.43
164,528052,1422.21
165,528066,1375.92
166,528083,1298.65
167,528088,1320.84
168,528096,1389.04
169,528107,1359.34
170,528122,1407.73
171,528134,1385.61
172,528155,1360.58
173,528159,1394.61
174,528170,1312.04
175,528179,1359.57
176,528198,1370.37
177,528219,1381.58
178,528234,1385.41
179,528236,1418.8
180,528237,1346.51
181,528250,1366.7
182,528266,1371.07
183,528276,1377.04
184,528281,1359.18
185,528300,1381.14
186,528306,1307.37
187,528307,1368.05
188,528317,1387.74
189,528332,1303.34
190,528357,1375.11
