Index,GHC,Measurement
1,525944,36760.43
2,525944,36234.84
3,525944,50634.92
4,525944,52491.12
5,525944,53475.88
6,525944,47583.21
7,525944,51317.98
8,525944,39599.53
9,525944,41301.09
10,525944,51033.67
11,525944,52022.41
12,525945,46155.82
13,525945,51801.08
14,525947,52180.55
15,525953,49702.66
16,525953,43199.95
17,525953,51528.77
18,525953,52523.64
19,525953,51181.01
20,525953,35395.8
21,525953,37556.68
22,525956,41227.54
23,525956,40594.27
24,525957,41136.93
25,525957,46742.25
26,525957,47348.56
27,525958,52336.15
28,525958,36038.71
29,525960,51865.98
30,525960,45033.51
31,525960,50717.38
32,525960,42204.12
33,525960,50974.53
34,525961,38158.21
35,525961,31583.34
36,525963,39791.18
37,525963,40602.93
38,525963,52387.97
39,525964,36072.51
40,525964,37817.63
41,525965,51624.77
42,525966,39257.81
43,525966,47402.77
44,525967,52296.1
45,525967,50889.01
46,525967,37341.47
47,525967,50768.61
48,525967,51409.82
49,525969,43625.19
50,525969,39833.3
51,525970,37124.79
52,525970,53706.86
53,525970,51649.02
54,525970,51780.5
55,525970,51345.68
56,525971,51150.88
57,525971,52222.37
58,525971,39855.86
59,525971,50422.69
60,525971,36707.7
61,525972,53196.57
62,525972,42752.77
63,525972,35480.92
64,525972,42403.73
65,525972,51804.14
66,525972,51799.94
67,525972,38788.93
68,525972,52104.83
69,525975,52389.14
70,525975,40168.64
71,525975,48002.53
72,525975,51310.12
73,525975,53152.38
74,525975,42665.68
75,525975,51497.85
76,525975,50921.79
77,525975,44187.25
78,525975,46314.38
79,525975,52982.72
80,525975,52154.25
81,525975,37686
82,525975,41222.71
83,525976,37459.73
84,525976,51535.93
85,525976,51086.64
86,525976,42763.42
87,525976,41823.39
88,525978,51244.36
89,525981,43284.18
90,525981,52882.79
91,525981,51873.63
92,525983,37355.35
93,525983,40727.7
94,525984,43423.05
95,525984,52072.83
96,525985,38883.66
97,525985,40182.17
98,525985,52542.85
99,525985,45016.52
100,525985,52191.38
101,525985,41272.03
102,525985,52579.75
103,525985,46939.91
104,525986,37683.38
105,525986,39305.39
106,525987,51905.77
107,525987,47027.1
108,525989,52713.65
109,525989,51118.56
110,525989,51346.81
111,525989,44361.33
112,525989,51485.41
113,525989,52038.18
114,525989,44742.63
115,525989,50454.86
116,525990,38343.02
117,525990,40165.43
118,525990,46508.73
119,525991,37799.55
120,525991,34605.46
121,525991,49010.75
122,525991,36729.92
123,525992,45794.52
124,525992,39827.44
